Condition,VH + ζ + 221 + Her 1,VH + ζ + 221 + Her 2,VH + ζ + 221 + Her 3,VL + ζ + 221 + Her 1,VL + ζ + 221 + Her 2,VL + ζ + 221 + Her 3,VH + ζ + 221 1,VH + ζ + 221 2,VH + ζ + 221 3,VL + ζ + 221 1,VL + ζ + 221 2,VL + ζ + 221 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
75.5,1.778339,1.934006,1.700505,0.947605,0.937126,0.963324,1.318875,1.38265,1.286987,1.141416,1.169699,1.127275,,,,,,,
76,1.807177,1.968613,1.726459,0.94853,0.938236,0.963971,1.324205,1.389046,1.291784,1.142748,1.171298,1.128474,,,,,,,
76.5,1.819927,1.983913,1.737934,0.94965,0.93958,0.964755,1.325563,1.390675,1.293007,1.145056,1.174068,1.130551,,,,,,,
77,1.808782,1.970538,1.727904,0.951031,0.941237,0.965722,1.329374,1.395249,1.296437,1.149794,1.179752,1.134814,,,,,,,
77.5,1.820319,1.984383,1.738287,0.952077,0.942492,0.966454,1.330686,1.396824,1.297618,1.153958,1.18475,1.138562,,,,,,,
78,1.821459,1.985751,1.739313,0.954247,0.945096,0.967973,1.331509,1.397811,1.298358,1.159352,1.191223,1.143417,,,,,,,
78.5,1.82613,1.991356,1.743517,0.954247,0.945096,0.967973,1.335211,1.402253,1.30169,1.162748,1.195297,1.146473,,,,,,,
79,1.849287,2.019144,1.764358,0.955291,0.946349,0.968704,1.341989,1.410387,1.30779,1.165164,1.198197,1.148648,,,,,,,
79.5,1.872669,2.047203,1.785402,0.95638,0.947656,0.969466,1.347428,1.416914,1.312685,1.166026,1.199231,1.149423,,,,,,,
80,1.870966,2.045159,1.783869,0.957146,0.948575,0.970002,1.348791,1.418549,1.313912,1.167049,1.200458,1.150344,,,,,,,
80.5,1.880953,2.057143,1.792857,0.958296,0.949955,0.970807,1.355593,1.426711,1.320033,1.170704,1.204845,1.153634,,,,,,,
81,1.885342,2.062411,1.796808,0.958304,0.949965,0.970813,1.363853,1.436623,1.327467,1.174983,1.20998,1.157485,,,,,,,
81.5,1.885342,2.062411,1.796808,0.959659,0.951591,0.971761,1.364551,1.437461,1.328096,1.176143,1.211372,1.158529,,,,,,,
82,1.894864,2.073836,1.805377,0.960511,0.952613,0.972358,1.371599,1.445919,1.334439,1.17822,1.213864,1.160398,,,,,,,
82.5,1.898198,2.077837,1.808378,0.961008,0.95321,0.972706,1.372041,1.44645,1.334837,1.180192,1.216231,1.162173,,,,,,,
83,1.902288,2.082746,1.812059,0.961533,0.95384,0.973073,1.372694,1.447233,1.335424,1.185242,1.222291,1.166718,,,,,,,
83.5,1.9222,2.10664,1.82998,0.96165,0.95398,0.973155,1.374978,1.449974,1.33748,1.187599,1.225118,1.168839,,,,,,,
84,1.930385,2.116462,1.837346,0.961726,0.954071,0.973208,1.379639,1.455567,1.341676,1.188131,1.225757,1.169318,,,,,,,
84.5,1.945472,2.134566,1.850925,0.963412,0.956094,0.974388,1.381584,1.457901,1.343426,1.18959,1.227507,1.170631,,,,,,,
85,1.945472,2.134566,1.850925,0.964149,0.956979,0.974904,1.383283,1.45994,1.344955,1.192916,1.231499,1.173624,,,,,,,
85.5,1.976082,2.171299,1.878474,0.965348,0.958418,0.975744,1.384596,1.461515,1.346136,1.195002,1.234002,1.175501,,,,,,,
86,1.977421,2.172905,1.879679,0.967652,0.961182,0.977356,1.386526,1.463831,1.347873,1.196243,1.235492,1.176619,,,,,,,
86.5,1.984502,2.181402,1.886051,0.970115,0.964138,0.979081,1.391296,1.469555,1.352166,1.197534,1.237041,1.177781,,,,,,,
87,1.987199,2.184638,1.888479,0.970805,0.964966,0.979564,1.394555,1.473466,1.355099,1.200855,1.241026,1.180769,,,,,,,
87.5,1.988373,2.186048,1.889536,0.974377,0.969252,0.982064,1.402236,1.482683,1.362013,1.201495,1.241794,1.181345,,,,,,,
88,1.995396,2.194475,1.895856,0.976897,0.972276,0.983828,1.407239,1.488686,1.366515,1.206412,1.247695,1.185771,,,,,,,
88.5,1.997979,2.197574,1.898181,0.977341,0.972809,0.984139,1.408362,1.490034,1.367525,1.20729,1.248748,1.186561,,,,,,,
89,2.002073,2.202488,1.901866,0.978027,0.973632,0.984619,1.41169,1.494027,1.370521,1.21016,1.252192,1.189144,,,,,,,
89.5,2.005208,2.206249,1.904687,0.979571,0.975485,0.9857,1.413523,1.496228,1.372171,1.211165,1.253398,1.190049,,,,,,,
90,2.007963,2.209555,1.907166,0.980752,0.976902,0.986526,1.415637,1.498765,1.374074,1.212095,1.254513,1.190885,,,,,,,
90.5,2.007963,2.209555,1.907166,0.982865,0.979438,0.988006,1.420923,1.505108,1.378831,1.213995,1.256794,1.192595,,,,,,,
91,2.008204,2.209845,1.907384,0.983101,0.979721,0.988171,1.420333,1.5044,1.3783,1.217924,1.261508,1.196131,,,,,,,
91.5,2.018329,2.221995,1.916496,0.985811,0.982973,0.990068,1.428162,1.513795,1.385346,1.219579,1.263495,1.197621,,,,,,,
92,2.022002,2.226402,1.919802,0.987386,0.984863,0.99117,1.428162,1.513795,1.385346,1.228297,1.273956,1.205467,,,,,,,
92.5,2.039557,2.247468,1.935601,0.989165,0.986998,0.992416,1.432619,1.519142,1.389357,1.232642,1.27917,1.209377,,,,,,,
93,2.034295,2.241154,1.930865,0.992214,0.990657,0.99455,1.435209,1.522251,1.391688,1.235897,1.283077,1.212307,,,,,,,
93.5,2.024172,2.229006,1.921755,0.992771,0.991325,0.99494,1.436335,1.523602,1.392701,1.239771,1.287725,1.215794,,,,,,,
94,2.03985,2.247821,1.935865,0.993901,0.992681,0.995731,1.438016,1.52562,1.394215,1.242912,1.291494,1.21862,,,,,,,
94.5,2.03985,2.247821,1.935865,0.99542,0.994504,0.996794,1.4419,1.53028,1.39771,1.248656,1.298387,1.223791,,,,,,,
