"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A", "Event #"
238045,160736,203231,601.4,126.48,120.28,189.72,0,82.56,128.64,10.24,1145.23,3008.98,1409.35,1404.16,403.2,61944.3,1.355,594.723,-25.1745,121.01,-80.8683,-13.2412,82.768,213.763,24.3957,954.416,2467.17,17.1924,374.142,-645.96,52726.4,615
177907,145077,166585,509.02,249.24,141.98,484.22,24.8,436.48,139.52,51.84,1082.04,2533.28,1732.4,592,214.4,9691.52,1.364,495.726,161.382,115.726,161.704,-28.5694,432.039,-35.219,48.868,925.757,2024.04,514.04,574.562,-326.177,2008.37,617
225487,179357,178188,613.8,162.44,127.1,55.8,32.86,219.52,38.4,56.32,1196.35,3296.53,2000.07,1121.28,488.32,31350.4,1.365,606.169,39.0034,128.683,-286.421,46.5523,223.768,-21.5667,64.1676,987.497,2745.11,441.836,713.912,-216.323,21064.3,618
225816,170012,170258,656.58,55.8,25.42,479.26,2.48,179.2,180.48,-68.48,1099.08,2804.5,1576.91,1338.24,522.88,54250.9,1.373,645.682,-66.1243,6.1431,449.622,-67.3318,170.751,125.783,-77.9262,920.072,2282.78,451.69,434.998,-391.276,45700.3,625
188275,148308,125863,386.88,143.84,81.22,35.96,35.96,128,231.04,33.28,785.97,1786.36,829.28,416.64,352,10417.3,1.378,382.295,74.4204,78.7334,-168.655,41.422,130.771,169.469,-12.9427,677.398,1404.28,-4.39844,290.698,40.9166,5100.63,628
209718,155773,170445,412.3,153.76,-13.64,175.46,-30.38,616.32,129.92,8.32,1180.02,2680.25,1339.06,1594.88,721.28,63118.7,1.393,399.678,60.3478,-33.982,234.027,-56.889,612.106,-162.18,0.751098,1016.54,2143.58,310.069,519.038,-169.642,55025.6,634
242654,184489,171043,751.44,252.96,104.16,148.8,52.08,219.52,116.48,138.24,1211.97,2934.43,1570.52,472.96,277.12,16074.9,1.439,742.136,138.27,90.2015,-101.943,45.0254,219.324,35.0283,124.725,1030.1,2352.02,234.285,329.562,-150.17,7179,670
239440,160377,132987,451.36,73.16,78.74,345.34,213.28,196.48,63.36,-77.44,834.96,2328.09,1192.09,1241.6,412.8,46805.1,1.446,442.603,-37.0001,69.6393,182.92,170.9,193.509,34.4778,-81.4097,684.908,1943.13,137.244,477.581,-459.529,39570.6,671
169172,127858,137380,409.2,153.76,-19.84,159.96,-12.4,165.76,134.4,-5.76,667.4,1840.32,807.98,812.16,499.84,34423,1.45,402.183,88.4086,-39.9762,235.056,-39.9308,161.54,22.7918,-30.1777,548.416,1531.59,87.6764,226.958,39.1733,28726.3,674
168601,124897,198119,549.94,126.48,182.9,372.62,122.14,346.88,23.04,-120.96,698.64,2049.06,1356.1,937.6,285.44,30625.9,1.464,541.741,-4.21819,179.413,-59.7773,91.2372,348.777,-38.3575,-102.942,566.586,1716.87,240.039,494.201,-535.362,24213.9,678
