,158VV48LH,,,158VV48LL,,,,,,,
Time (Seconds),3G8,SKOV-3,221,3G8,SKOV-3,221,,,,,
122.511,2.007478,1.138289,4.076541,1.562464,1.066964,3.5419,,,,,
123.011,2.007808,1.138408,4.075033,1.561874,1.067005,3.541803,,,,,
123.511,2.007439,1.138228,4.072261,1.561465,1.067401,3.541515,,,,,
124.011,2.007439,1.138009,4.071075,1.561377,1.067378,3.538644,,,,,
124.511,2.006839,1.138263,4.072833,1.561191,1.067926,3.538734,,,,,
125.011,2.006893,1.138294,4.071235,1.561158,1.067472,3.539638,,,,,
125.511,2.006898,1.13836,4.071075,1.560842,1.066562,3.537802,,,,,
126.011,2.007699,1.13863,4.071075,1.56073,1.066562,3.536816,,,,,
126.511,2.007749,1.138586,4.071758,1.560511,1.066182,3.537488,,,,,
127.011,2.007211,1.1384,4.071395,1.560243,1.066513,3.536509,,,,,
127.511,2.007337,1.1386,4.071235,1.56034,1.066016,3.536294,,,,,
128.011,2.007642,1.138678,4.071235,1.560138,1.066016,3.536509,,,,,
128.511,2.006993,1.138837,4.069798,1.559576,1.065705,3.535926,,,,,
129.011,2.007361,1.139005,4.0699,1.559237,1.066101,3.535319,,,,,
129.511,2.006806,1.139005,4.069089,1.559176,1.065625,3.535182,,,,,
130.011,2.007211,1.13903,4.067646,1.559033,1.065625,3.535634,,,,,
130.511,2.007315,1.139047,4.066492,1.558784,1.066094,3.535926,,,,,
131.011,2.006499,1.139054,4.066781,1.558642,1.066025,3.536509,,,,,
131.511,2.006016,1.139206,4.06636,1.558504,1.065686,3.536207,,,,,
132.011,2.005806,1.139569,4.064242,1.558221,1.06538,3.536024,,,,,
132.511,2.005691,1.139476,4.065337,1.557963,1.065338,3.534766,,,,,
133.011,2.00582,1.139299,4.064045,1.557544,1.064166,3.534658,,,,,
133.511,2.005993,1.139187,4.0622,1.557371,1.063894,3.534658,,,,,
134.011,2.005777,1.139187,4.063782,1.556952,1.06469,3.533408,,,,,
134.511,2.006388,1.139154,4.063782,1.556805,1.064542,3.53383,,,,,
135.011,2.00648,1.13927,4.064055,1.55662,1.06429,3.534658,,,,,
135.511,2.006381,1.13927,4.063976,1.556607,1.064809,3.53493,,,,,
136.011,2.006381,1.139376,4.064055,1.556246,1.065651,3.534146,,,,,
136.511,2.006395,1.139329,4.06282,1.556268,1.066615,3.533707,,,,,
137.011,2.006209,1.139283,4.062138,1.555955,1.06612,3.532352,,,,,
137.511,2.006209,1.139317,4.061527,1.555744,1.066079,3.530086,,,,,
138.011,2.006307,1.139196,4.059638,1.555378,1.066854,3.530117,,,,,
138.511,2.006201,1.139118,4.058312,1.554603,1.066854,3.529824,,,,,
139.011,2.006016,1.13908,4.061136,1.55459,1.067127,3.529824,,,,,
139.511,2.005824,1.139048,4.057882,1.554597,1.067097,3.530028,,,,,
140.011,2.005733,1.139093,4.058062,1.554401,1.067326,3.530148,,,,,
140.511,2.005856,1.139212,4.058062,1.553944,1.067249,3.532136,,,,,
141.011,2.005996,1.139137,4.058312,1.553292,1.067297,3.533408,,,,,
141.511,2.005432,1.139187,4.055655,1.552822,1.067407,3.530148,,,,,
142.011,2.005566,1.13908,4.05924,1.552596,1.067769,3.529677,,,,,
142.511,2.006127,1.139158,4.055655,1.552416,1.068031,3.528885,,,,,
143.011,2.005993,1.139174,4.057382,1.551895,1.068302,3.528328,,,,,
143.511,2.005583,1.139096,4.056093,1.55163,1.06791,3.529159,,,,,
144.011,2.005403,1.139037,4.05549,1.551235,1.06791,3.528702,,,,,
144.511,2.005311,1.139093,4.054773,1.551235,1.06791,3.529185,,,,,
145.011,2.005025,1.139048,4.05466,1.550974,1.068498,3.529185,,,,,
145.511,2.004713,1.139048,4.054181,1.551015,1.068085,3.530117,,,,,
146.011,2.004456,1.139054,4.054181,1.550824,1.067985,3.529914,,,,,
146.511,2.004387,1.139021,4.053729,1.550526,1.067374,3.530086,,,,,
147.011,2.003849,1.138877,4.052667,1.550197,1.06784,3.528702,,,,,
147.511,2.00341,1.138722,4.05186,1.549929,1.067816,3.529009,,,,,
148.011,2.003208,1.138465,4.048084,1.549794,1.067051,3.52852,,,,,
148.511,2.003258,1.138306,4.048981,1.549574,1.067039,3.529009,,,,,
149.011,2.002727,1.138402,4.048907,1.549151,1.066708,3.52852,,,,,
149.511,2.002828,1.138386,4.048001,1.548947,1.068143,3.527839,,,,,
150.011,2.002505,1.138242,4.047852,1.54855,1.068373,3.527316,,,,,
150.511,2.002502,1.138286,4.048001,1.548644,1.068389,3.528275,,,,,
151.011,2.002253,1.138127,4.047852,1.548172,1.06828,3.527215,,,,,
151.511,2.001801,1.13802,4.045967,1.547898,1.068613,3.527293,,,,,
152.011,2.001663,1.137869,4.045383,1.547653,1.068595,3.525968,,,,,
152.511,2.001691,1.137854,4.044457,1.547441,1.069354,3.524911,,,,,
153.011,2.001591,1.137616,4.043409,1.547184,1.069238,3.52497,,,,,
153.511,2.001299,1.137535,4.043394,1.546888,1.06889,3.524503,,,,,
154.011,2.001013,1.137435,4.042686,1.546742,1.069992,3.52497,,,,,
154.511,2.000855,1.137289,4.042777,1.546541,1.070478,3.52499,,,,,
155.011,2.000328,1.137402,4.042918,1.546017,1.070952,3.52363,,,,,
155.511,1.99994,1.137186,4.042787,1.545732,1.07127,3.523392,,,,,
156.011,1.9999,1.137209,4.041108,1.545732,1.071216,3.522393,,,,,
156.511,1.999752,1.137086,4.040363,1.545732,1.070972,3.522259,,,,,
157.011,1.99911,1.136893,4.039752,1.54534,1.07134,3.523019,,,,,
157.511,1.998619,1.13704,4.040096,1.545081,1.071356,3.524651,,,,,
158.011,1.998422,1.137078,4.039752,1.544704,1.072143,3.523642,,,,,
158.511,1.997551,1.13707,4.039888,1.544428,1.072297,3.52345,,,,,
159.011,1.997237,1.136868,4.039219,1.543945,1.071975,3.522645,,,,,
159.511,1.997038,1.136819,4.03949,1.543904,1.07277,3.522645,,,,,
160.011,1.996559,1.136719,4.038723,1.54358,1.072409,3.521783,,,,,
160.511,1.99635,1.136629,4.037238,1.543212,1.072409,3.520935,,,,,
161.011,1.996139,1.13643,4.036123,1.54299,1.071976,3.521453,,,,,
161.511,1.995865,1.136595,4.033718,1.543088,1.071932,3.521783,,,,,
162.011,1.995877,1.136589,4.034881,1.542754,1.071903,3.521783,,,,,
162.511,1.996036,1.136424,4.034536,1.542349,1.071829,3.519956,,,,,
163.011,1.995709,1.136278,4.034722,1.542177,1.072518,3.519503,,,,,
163.511,1.995173,1.136269,4.034507,1.542056,1.072227,3.519458,,,,,
164.011,1.994461,1.136115,4.034436,1.541688,1.072446,3.520201,,,,,
164.511,1.994137,1.135844,4.034564,1.541301,1.072907,3.519472,,,,,
165.011,1.994104,1.135671,4.033936,1.540843,1.072505,3.51971,,,,,
165.511,1.993631,1.135506,4.033103,1.54051,1.072961,3.519956,,,,,
166.011,1.993333,1.135446,4.035021,1.540436,1.072469,3.518217,,,,,
166.511,1.992582,1.13537,4.034951,1.540241,1.072124,3.517447,,,,,
167.011,1.992135,1.13537,4.033446,1.53996,1.071571,3.51897,,,,,
167.511,1.991628,1.13521,4.032263,1.539742,1.071568,3.51752,,,,,
168.011,1.991209,1.13518,4.031231,1.539309,1.071572,3.51752,,,,,
168.511,1.990677,1.134965,4.030421,1.538966,1.072956,3.517134,,,,,
169.011,1.990519,1.134965,4.029129,1.538566,1.073192,3.516339,,,,,
169.511,1.990406,1.134812,4.029667,1.538472,1.073326,3.516746,,,,,
