LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_19,19,19,94,0,0,0,0,0,93.0,3.0,96.0,370.127651990872,672.4388424030283,1565.4077189072516,0.0,8.464973915485944,102.52149131160473,0.12508221390091004,1.902901178151259,16.262540536183256,34.136478505236035,787.2425741401931,384.48305902996316,0.4701570572388266,3.979867225708301,0.47015705723882684,1.3827964240811828
Track_20,20,20,7,0,0,0,0,0,6.0,3.0,9.0,245.75333386774284,655.4245408569594,862.0152584587112,0.0,46.266291108783236,126.64469167788043,0.31302792258822004,58.342322356206886,47.479424842945974,32.875941685267854,277.5977466526994,245.75333386774284,0.8852857662969545,40.95888897795714,0.8852857662969544,0.9472486423937999
Track_21,21,21,8,0,0,0,0,0,7.0,3.0,10.0,61.712588352280754,1550.2399465102708,1434.8606503805543,0.0,13.279700957077488,36.07461859411173,1.6051213937296078,11.757188868571726,13.035169186487003,30.650291442871094,92.9579066995424,61.712588352280754,0.6638767001471704,8.816084050325822,0.6638767001471703,1.1477997909649467
Track_22,22,22,25,1,0,0,0,1,25.0,3.0,28.0,142.7487031419129,71.82384350123635,1017.1638056174514,0.0,14.138218407850738,84.19001617281731,0.4233764157720274,2.683799192574871,23.080002986000153,56.12310791015625,358.2017732300457,156.8067192062863,0.398514786386153,5.709948125676516,0.4038661704720779,1.2446028942743208
Track_23,23,23,10,0,0,0,0,0,9.0,3.0,12.0,745.2995585973927,82.57216090478967,1198.7360319468137,0.0,89.38982809910297,140.31403619910762,0.6974598792598515,90.8542736894558,41.091602170340614,57.193670654296874,804.5084528919268,745.2995585973927,0.9264036392884389,82.81106206637696,0.926403639288439,0.47705960650494184
Track_24,24,24,25,1,0,0,0,1,25.0,3.0,28.0,131.98655225756616,1643.9667428119908,57.087472083726915,0.0,10.416437419030917,58.535391630233775,0.7453438139430341,2.889207906638804,15.858654421685541,57.573310546875,264.1322618245782,163.49170859574068,0.4996987166422866,5.279462090302647,0.5068395150780656,0.974296584309013
Track_25,25,25,94,0,0,0,0,0,93.0,3.0,96.0,125.14616395972236,944.5735745953873,1382.7302805195245,0.0,3.0498366636650784,91.55005839499434,0.04492933385249115,0.5632046669627211,11.810347180086099,26.77795669880319,283.6348097208523,147.55117029582019,0.441222867118774,1.3456576769862618,0.44122286711877395,1.4535068767833936
Track_26,26,26,93,1,0,0,0,1,93.0,3.0,96.0,83.33705922701118,1025.0182155131595,231.49779306345485,0.0,6.7811783594095365,35.60160731220249,0.07000451204963201,3.6835106659350885,7.156478406632443,32.590624737483196,639.80910994331,83.33705922701118,0.13025300504770124,0.896097411043131,0.1321447930653099,1.8360578818622766
Track_27,27,27,6,0,0,0,0,0,5.0,3.0,8.0,148.8027440189683,975.5197358455977,1465.4463680590598,0.0,42.291276537072534,76.57078404690891,1.76981559955395,47.44688866320609,32.927515228501626,28.873158772786457,211.45638268536266,148.8027440189683,0.7037041971931389,29.76054880379366,0.7037041971931389,0.9531475784688973
Track_28,28,28,4,0,0,0,0,0,3.0,3.0,6.0,30.94838347146563,1051.857158228584,1469.9696389551227,0.0,11.252445618585885,16.83510192325436,3.8666631785468337,13.05557175395646,6.669598845796511,45.8623046875,33.75733685575766,30.94838347146563,0.9167898404932102,10.316127823821876,0.9167898404932103,0.4486198676450612
Track_29,29,29,10,1,0,0,0,1,10.0,3.0,13.0,159.33654831631412,1652.70821169317,1503.684129491999,0.0,15.59703058078313,56.236583272328325,3.649363780580825,8.337301587156157,17.032569717318992,40.2595703125,196.6098584993765,159.33654831631412,0.8104199328174555,15.933654831631411,1.0215825858072645,1.3043749086997445
