NK-92 VL,NK-92 VH
17.02560955,2.901237189
165.5772538,12.00485512
15.16790349,11.347216
144.2227981,0.184504265
21.20189161,88.05844496
6.876774422,2.771719523
71.37668972,63.89153
127.5303889,202.640547
60.6242198,12.83639767
61.7418036,90.6283
12.41326097,93.25919
15.82393508,74.52978975
26.54334443,72.7027816
275.8868393,15.07638897
5.39272999,3.34498222
15.48755654,92.70604
1.258242223,58.52108184
187.9179802,30.64823532
59.06859776,121.4793031
1.478962,0.431259797
1.182021085,110.8063293
4.889819894,118.0581281
9.879491917,85.11823455
1.66533272,84.00642535
1.107698588,98.05557
11.97328697,0.603509459
46.09371236,8.75553075
3.499309434,46.02740099
14.92864741,61.89303608
26.67252233,50.22519589
1.770261207,48.56387592
90.45043631,271.1708574
13.95137134,76.3133289
130.2725727,44.16754281
0.954372709,9.285147374
97.68352625,1.769349027
49.07736956,9.344158532
2.493545524,79.86630569
49.0834977,71.42415427
43.97728797,26.24669706
51.65205365,4.067955526
13.24692016,123.7226165
29.90554299,85.86372
210.7925665,226.8718679
29.42047843,93.23963487
33.92414238,11.24069204
369.9771583,106.6204955
33.45383177,20.79901986
29.4585063,18.61731634
32.98136745,3.641537065
45.66062268,32.38764822
4.34145009,93.87165393
104.1619034,114.003035
3.590034409,69.73946
83.03121338,114.2306691
132.9706431,4.138108666
59.34187228,43.36734
13.23492437,23.71684478
29.85999119,258.94271
149.9097908,255.8447811
48.9495506,2.822179674
8.469792203,463.4813497
82.22045003,61.67395082
18.71284414,76.1901025
28.07518399,70.53235735
10.68323058,216.3360859
65.92490729,111.4730055
30.92193323,126.6698981
41.52524485,5.401076323
1.26130292,118.4931864
75.41792723,4
14.03626703,101.755468
5.222374229,58.18417872
17.46224284,31.30670259
95.36981587,4.997314362
6.379922027,247.7758745
3.101543,1.190933604
103.248776,133.1933906
2.938993866,0.211092063
25.80963349,9.25854
3.697577027,3.201680766
0.192104994,9.028183
15.64661813,103.2846848
0.862448625,0.376713904
0.540501557,13.59084742
4.453269095,0.139412027
2.895732125,0.616574554
38.31373688,1.063065512
5.043135,26.96840835
7.781165,132.8095889
26.27155661,152.8053772
95.29378945,4.993472507
0.39741568,0.605694115
1.027804516,84.79493544
183.4720114,197.2955443
0.863118751,7.850617958
12.199701,0.176024239
2.603103389,98.50621341
3.929333176,14.79853299
3.309362883,146.7342379
34.45853258,0.856440846
4.513520219,1.87318623
9.954061836,17.32410121
4.980518398,27.00837386
10.20280988,9.97241632
31.58294246,5.943022677
53.23002585,46.01166099
93.18140932,0.480781
8.680910834,0.223281088
1.390425517,38.70771
15.38247149,32.61845731
45.73360637,72.55093263
3.199022485,2.406520126
7.962236391,173.2607125
29.84600302,2.640486531
149.0183221,119.1306041
14.39517534,69.62322244
6.845038507,99.39416505
20.6081685,2.362047827
6.843754402,90.5169856
6.938327649,2.771205457
32.46845554,0
10.39705697,51.46792677
44.54373978,51.04928674
38.34309987,58.63003989
195.6046315,3.406287327
15.6864363,20.8328672
94.37020384,26.49632087
0.863513801,199.6718654
23.96979844,1.221680514
5.298058,11.33071822
16.59789416,1.044929237
0.149340789,16.94909342
11.03492107,88.00098281
48.02949606,10.42655631
4.29974482,188.4692373
0.482169313,110.9779131
3.188043614,15.23408817
5.235065269,7.413943792
1.222837896,51.80981595
0.401275428,2.442518789
231.4314569,6.21442894
151.2606818,8.238367813
1.682399669,56.66685139
195.2120227,94.30381529
16.12916345,22.06945168
51.16523413,2.242216863
83.70969846,25.75951546
70.06630158,89.29501805
2.223336112,68.11444
15.09592385,15.1081182
0.327745319,0.585316895
2.93724909,81.36318821
1.524032053,10.95787407
4.657898861,0.910580695
40.06711992,44.3945152
36.31948144,127.4879131
2.556710257,7.305585973
0.656649013,172.1745856
1.249810466,25.83342904
16.80392318,62.23962942
0.794052178,200.4899081
17.23462241,19.41401993
89.18683359,18.0334447
1.024779956,172.1864771
1.458110412,50.0675563
1.701613574,1.567160368
60.68502313,6.464235006
2.152518762,15.57305347
4.101482042,0.337799877
0.415158972,73.09619369
53.64033899,166.4724449
4.941772221,15.48526201
132.5365809,17.94878455
45.97336,51.82168217
31.50158498,7.924339388
4.005064045,87.01007593
43.65274,11.09377159
6.290728599,4
6.688823951,4.628704566
4.748650767,14.82707548
103.2053792,51.48392232
76.9229134,1.635922863
1.515585844,122.9200166
1.098438717,91.8209186
66.95071628,9.907384269
0.912094189,1.724712032
11.55339277,4.443180089
4.07401276,0.823888646
3.753363967,107.1090535
0.147568047,46.91934486
3.849176371,1.487863186
2.331359549,84.89765976
0.046883,13.25030725
8.146009477,15
5.456378537,71.33121365
27.22839299,3.391007299
16.97365216,2.907009685
0.228990626,0.380164074
27.39446304,56.59921
0.753800999,1.18537638
2.183558211,0.8525458
31.09788644,0.581183473
1.302264122,3.361011618
4.264173689,13.04281025
0.519419094,5.293600922
35.11946,5.463075527
1.274209454,0.517102681
39.68176075,8.653220697
8.833564712,37.33424872
11.01787643,14.31548797
5.079868383,115.9013639
36.34805351,2.878316614
20.96604046,5.245137999
3.963253414,102.5680897
44.58218075,0
170.0204812,99.60803655
3.960011242,2.028760255
0.926619452,26.92932549
8.138922412,196.4318214
12.0652702,4
4.907522104,2.810525776
7.277153804,109.8581959
88.86963,9.739739
48.8419785,0.719248955
1.097519281,35.63193045
0.433539762,7.291251091
1.712576141,17.94883396
1.72199178,2.743471384
0.136069685,25.71952242
3.800265,3.574071254
0.311858138,22.1723898
0.917704,19.00894619
23.70949599,5.656847
1.051607127,4.678286873
1.51248555,1.746683698
1.096045776,1.565036035
0.332099722,5.444390653
0.246159022,58.27952119
2.680235568,3
1.229794036,67.56366756
4.730847429,9.035419
3.624583043,1.735821002
1.532040205,37.7197748
1.114848976,21.06973201
2.272612621,73.40863224
0.66066672,87.23544298
0.532145131,77.3054557
17.06794418,23.88850741
20.96708499,86.36072362
