Condition,VH + ζ + SKOV + Her 1,VH + ζ + SKOV + Her 2,VH + ζ + SKOV + Her 3,VL + ζ + SKOV + Her 1,VL + ζ + SKOV + Her 2,VL + ζ + SKOV + Her 3,VH + ζ + SKOV 1,VH + ζ + SKOV 2,VH + ζ + SKOV 3,VL + ζ + SKOV 1,VL + ζ + SKOV 2,VL + ζ + SKOV 3
Seconds,,,,,,,,,,,,
50,1.33173,1.398076,1.298557,1.062835,2.223315,1.978652,0.921475,0.90577,0.84295,0.934614,0.921536,0.836534
50.5,1.344675,1.41361,1.310208,1.064521,2.224016,1.979213,0.921475,0.90577,0.84295,0.934643,0.921571,0.836606
51,1.350194,1.420233,1.315175,1.063902,2.22728,1.981824,0.921579,0.905895,0.843158,0.934729,0.921675,0.836822
51.5,1.351769,1.422122,1.316592,1.066487,2.254124,2.0033,0.921619,0.905943,0.843238,0.93497,0.921963,0.837424
52,1.352692,1.42323,1.317422,1.064521,2.256893,2.005515,0.921599,0.905919,0.843198,0.93497,0.921963,0.837424
52.5,1.358944,1.430733,1.32305,1.067834,2.270086,2.016069,0.921619,0.905943,0.843238,0.934965,0.921958,0.837413
53,1.359648,1.431577,1.323683,1.073966,2.288412,2.03073,0.921651,0.905981,0.843302,0.934965,0.921958,0.837413
53.5,1.378234,1.453881,1.340411,1.086224,2.297757,2.038205,0.92169,0.906027,0.843379,0.93497,0.921963,0.837424
54,1.404512,1.485414,1.364061,1.086332,2.314681,2.051745,0.92169,0.906027,0.843379,0.935102,0.922123,0.837755
54.5,1.408602,1.490322,1.367742,1.0998,2.322239,2.057791,0.92169,0.906027,0.843379,0.93523,0.922276,0.838075
55,1.42271,1.507252,1.380439,1.101532,2.335022,2.068018,0.92169,0.906027,0.843379,0.935427,0.922512,0.838568
55.5,1.425029,1.510035,1.382526,1.106071,2.352861,2.082289,0.922138,0.906566,0.844276,0.935427,0.922512,0.838568
56,1.429717,1.51566,1.386745,1.113143,2.374304,2.099443,0.922686,0.907223,0.845371,0.935508,0.922609,0.838769
56.5,1.435282,1.522339,1.391754,1.129812,2.393254,2.114603,0.922686,0.907223,0.845371,0.935606,0.922727,0.839016
57,1.44949,1.539388,1.404541,1.131051,2.407435,2.125948,0.92274,0.907288,0.84548,0.935606,0.922727,0.839016
57.5,1.448105,1.537726,1.403294,1.131594,2.408891,2.127113,0.923005,0.907606,0.84601,0.935606,0.922727,0.839016
58,1.455871,1.547045,1.410284,1.132327,2.425283,2.140227,0.92327,0.907925,0.846541,0.935624,0.922749,0.83906
58.5,1.469416,1.563299,1.422474,1.137237,2.438926,2.151141,0.92274,0.907288,0.84548,0.935624,0.922749,0.83906
59,1.47759,1.573108,1.429831,1.169522,2.443056,2.154445,0.92327,0.907925,0.846541,0.935738,0.922885,0.839344
59.5,1.493901,1.592682,1.444511,1.177064,2.452832,2.162265,0.92334,0.908008,0.846679,0.935851,0.923022,0.839628
60,1.514577,1.617493,1.46312,1.187799,2.464283,2.171427,0.923489,0.908186,0.846977,0.935851,0.923022,0.839628
60.5,1.518099,1.621719,1.466289,1.203607,2.478573,2.182858,0.923698,0.908437,0.847395,0.935851,0.923022,0.839628
61,1.521057,1.625268,1.468951,1.203911,2.507091,2.205673,0.923821,0.908585,0.847642,0.935851,0.923022,0.839628
61.5,1.521057,1.625268,1.468951,1.20938,2.516004,2.212803,0.923821,0.908585,0.847642,0.935851,0.923022,0.839628
62,1.548011,1.657614,1.49321,1.211439,2.529391,2.223513,0.923857,0.908628,0.847714,0.935933,0.923119,0.839832
62.5,1.557285,1.668741,1.501556,1.221286,2.529638,2.223711,0.923857,0.908628,0.847714,0.936014,0.923217,0.840036
63,1.582483,1.698979,1.524234,1.221286,2.559048,2.247238,0.923865,0.908638,0.84773,0.936029,0.923235,0.840073
63.5,1.592987,1.711584,1.533688,1.216789,2.580864,2.264691,0.923861,0.908633,0.847722,0.936029,0.923235,0.840073
64,1.595166,1.714199,1.535649,1.232668,2.602314,2.281851,0.923993,0.908792,0.847987,0.936477,0.923773,0.841193
64.5,1.616683,1.740019,1.555015,1.241432,2.631868,2.305494,0.924042,0.90885,0.848083,0.936639,0.923967,0.841598
65,1.618074,1.741689,1.556267,1.240873,2.640235,2.312188,0.92409,0.908908,0.84818,0.936784,0.924141,0.841959
65.5,1.628041,1.753649,1.565237,1.263577,2.663886,2.331108,0.924392,0.90927,0.848784,0.936784,0.924141,0.841959
66,1.644946,1.773935,1.580451,1.264893,2.6926,2.35408,0.924419,0.909303,0.848838,0.936784,0.924141,0.841959
66.5,1.652395,1.782874,1.587155,1.276486,2.70485,2.36388,0.924446,0.909335,0.848892,0.936784,0.924141,0.841959
67,1.679203,1.815043,1.611282,1.279111,2.734649,2.387719,0.924453,0.909343,0.848906,0.936931,0.924317,0.842328
67.5,1.711983,1.85438,1.640785,1.279256,2.74912,2.399296,0.924483,0.909379,0.848966,0.936937,0.924324,0.842343
68,1.73455,1.881459,1.661095,1.28676,2.758485,2.406788,0.924506,0.909407,0.849012,0.936944,0.924333,0.84236
68.5,1.761176,1.913411,1.685058,1.294118,2.760801,2.408641,0.924582,0.909498,0.849163,0.936947,0.924336,0.842366
69,1.782788,1.939346,1.704509,1.279401,2.761304,2.409043,0.924506,0.909407,0.849012,0.936947,0.924336,0.842366
69.5,1.806988,1.968386,1.72629,1.279401,2.761304,2.409043,0.924544,0.909453,0.849088,0.937151,0.924581,0.842878
70,1.819078,1.982894,1.73717,1.318111,2.799064,2.439251,0.924544,0.909453,0.849088,0.937188,0.924626,0.84297
70.5,1.844564,2.013477,1.760108,1.313581,2.827982,2.462386,0.924582,0.909498,0.849163,0.937223,0.924667,0.843057
71,1.876302,2.051563,1.788672,1.365329,2.831332,2.465066,0.924582,0.909498,0.849163,0.937258,0.924709,0.843144
71.5,1.902802,2.083362,1.812522,1.434198,2.847196,2.477757,0.924827,0.909792,0.849653,0.937258,0.924709,0.843144
72,1.902802,2.083362,1.812522,1.488323,2.90622,2.524976,0.924932,0.909918,0.849863,0.937258,0.924709,0.843144
72.5,1.910416,2.092499,1.819374,1.525182,2.936068,2.548854,0.925031,0.910037,0.850062,0.937188,0.924626,0.84297
73,1.911757,2.094109,1.820582,1.525182,2.984745,2.587796,0.925031,0.910037,0.850062,0.93717,0.924604,0.842924
73.5,1.920576,2.104691,1.828518,1.562379,2.997643,2.598114,0.925031,0.910037,0.850062,0.937151,0.924581,0.842878
74,1.963266,2.155919,1.866939,1.597977,3.005385,2.604308,0.925125,0.91015,0.85025,0.937258,0.924709,0.843144
74.5,1.994704,2.193644,1.895233,1.690125,3.025197,2.620158,0.925219,0.910262,0.850437,0.937468,0.924961,0.843669
75,2.002548,2.203058,1.902293,1.709241,3.080832,2.664665,0.925219,0.910262,0.850437,0.937678,0.925213,0.844194
75.5,2.044944,2.253933,1.94045,1.717075,3.101149,2.68092,0.925784,0.91094,0.851567,0.937976,0.925571,0.844939
76,2.058847,2.270617,1.952963,1.713158,3.11284,2.690272,0.925784,0.91094,0.851567,0.938137,0.925764,0.845342
76.5,2.066016,2.279219,1.959414,1.713158,3.131587,2.705269,0.925784,0.91094,0.851567,0.938285,0.925942,0.845713
77,2.070586,2.284703,1.963527,1.791262,3.144719,2.715775,0.925784,0.91094,0.851567,0.938285,0.925942,0.845713
77.5,2.092968,2.311562,1.983672,1.932001,3.181918,2.745534,0.926183,0.911419,0.852365,0.938472,0.926166,0.846179
78,2.111256,2.333508,2.000131,2.032864,3.193698,2.754959,0.926183,0.911419,0.852365,0.938533,0.926239,0.846331
78.5,2.132002,2.358403,2.018802,2.054619,3.22475,2.7798,0.92611,0.911332,0.85222,0.938533,0.926239,0.846331
79,2.153767,2.38452,2.03839,2.068343,3.264705,2.811764,0.92611,0.911332,0.85222,0.938593,0.926312,0.846483
79.5,2.178842,2.41461,2.060958,2.082377,3.280506,2.824405,0.92611,0.911332,0.85222,0.938953,0.926743,0.847381
80,2.195888,2.435066,2.076299,2.096411,3.29429,2.835432,0.926256,0.911507,0.852511,0.938953,0.926743,0.847381
80.5,2.231688,2.478026,2.10852,2.28441,3.327396,2.861917,0.926256,0.911507,0.852511,0.938953,0.926743,0.847381
81,2.258975,2.51077,2.133078,2.298075,3.372893,2.898314,0.926317,0.91158,0.852634,0.939409,0.927291,0.848523
81.5,2.285352,2.542423,2.156817,2.28441,3.379272,2.903418,0.926419,0.911703,0.852839,0.9393,0.92716,0.848249
82,2.323023,2.587627,2.19072,2.293526,3.389742,2.911794,0.92646,0.911752,0.852921,0.939409,0.927291,0.848523
82.5,2.363203,2.635843,2.226882,2.293526,3.396409,2.917127,0.926797,0.912157,0.853595,0.939409,0.927291,0.848523
83,2.392025,2.67043,2.252822,2.312978,3.407059,2.925647,0.927803,0.913364,0.855607,0.939488,0.927386,0.848721
83.5,2.41711,2.700532,2.275399,2.315018,3.446209,2.956967,0.927939,0.913527,0.855878,0.939488,0.927386,0.848721
84,2.428515,2.714218,2.285663,2.390724,3.473686,2.978949,0.928735,0.914482,0.857469,0.939409,0.927291,0.848523
84.5,2.449617,2.73954,2.304655,2.39125,3.483535,2.986828,0.928735,0.914482,0.857469,0.9393,0.92716,0.848249
85,2.479924,2.775908,2.331931,2.479265,3.508622,3.006898,0.928782,0.914538,0.857564,0.939409,0.927291,0.848523
85.5,2.496305,2.795566,2.346675,2.508119,3.527226,3.021781,0.928758,0.91451,0.857517,0.939409,0.927291,0.848523
86,2.511213,2.813455,2.360092,2.515313,3.528835,3.023068,0.928735,0.914482,0.857469,0.939488,0.927386,0.848721
86.5,2.536369,2.843643,2.382732,2.592103,3.547529,3.038023,0.928758,0.91451,0.857517,0.939914,0.927896,0.849784
87,2.536369,2.843643,2.382732,2.6062,3.568221,3.054577,0.928758,0.91451,0.857517,0.939972,0.927967,0.849931
87.5,2.574852,2.889822,2.417367,2.629153,3.581881,3.065504,0.928758,0.91451,0.857517,0.940101,0.928121,0.850253
88,2.585389,2.902466,2.42685,2.722822,3.602225,3.08178,0.928782,0.914538,0.857564,0.94023,0.928276,0.850575
88.5,2.625264,2.950317,2.462737,2.729719,3.615739,3.092591,0.928782,0.914538,0.857564,0.94023,0.928276,0.850575
89,2.640876,2.969051,2.476788,2.714608,3.619613,3.09569,0.928782,0.914538,0.857564,0.940367,0.928441,0.850919
89.5,2.645229,2.974275,2.480706,2.854906,3.622836,3.098268,0.929021,0.914825,0.858042,0.940771,0.928926,0.851928
90,2.698557,3.038269,2.528702,2.795696,3.651078,3.120862,0.929021,0.914825,0.858042,0.940505,0.928606,0.851262
90.5,2.709095,3.050913,2.538185,2.855036,3.656511,3.125209,0.929111,0.914933,0.858222,0.940505,0.928606,0.851262
91,2.813549,3.176259,2.632194,2.854776,3.680844,3.144675,0.929201,0.915041,0.858401,0.940771,0.928926,0.851928
91.5,2.818533,3.18224,2.63668,2.857458,3.694802,3.155842,0.929284,0.915141,0.858568,0.941122,0.929346,0.852805
92,2.859228,3.231074,2.673306,2.857458,3.720882,3.176705,0.929492,0.91539,0.858984,0.941206,0.929448,0.853016
92.5,2.924975,3.30997,2.732477,2.857458,3.745339,3.196271,0.929445,0.915334,0.85889,0.941206,0.929448,0.853016
93,2.964438,3.357326,2.767994,2.855036,3.757739,3.206191,0.929492,0.91539,0.858984,0.941122,0.929346,0.852805
93.5,2.991803,3.390164,2.792623,2.854776,3.776294,3.221036,0.929538,0.915446,0.859077,0.941206,0.929448,0.853016
94,3.089173,3.507008,2.880256,2.85988,3.778164,3.222531,0.929677,0.915612,0.859354,0.941288,0.929545,0.85322
94.5,3.09677,3.516124,2.887093,2.869408,3.824906,3.259925,0.929875,0.91585,0.859749,0.941247,0.929496,0.853118
95,3.122637,3.547164,2.910373,2.869408,3.852503,3.282002,0.929943,0.915932,0.859886,0.941247,0.929496,0.853118
95.5,3.132103,3.558524,2.918893,2.885988,3.857222,3.285778,0.929963,0.915956,0.859926,0.941336,0.929603,0.85334
96,3.182848,3.619418,2.964564,2.887307,3.882401,3.305921,0.929952,0.915942,0.859904,0.941384,0.929661,0.85346
96.5,3.19753,3.637036,2.977777,2.985921,3.902275,3.32182,0.929963,0.915956,0.859926,0.941384,0.929661,0.85346
97,3.20347,3.644164,2.983123,3.03707,3.921924,3.337539,0.930039,0.916047,0.860078,0.941405,0.929686,0.853513
97.5,3.226165,3.671398,3.003549,3.074484,3.944108,3.355287,0.930084,0.9161,0.860167,0.941426,0.929712,0.853566
98,3.321172,3.785406,3.089055,3.076886,3.981781,3.385425,0.930128,0.916154,0.860256,0.941476,0.929771,0.853689
98.5,3.356225,3.82747,3.120603,3.127605,3.99124,3.392992,0.930156,0.916187,0.860311,0.941476,0.929771,0.853689
99,3.424356,3.909227,3.18192,3.14619,3.998042,3.398433,0.930128,0.916154,0.860256,0.941596,0.929916,0.853991
99.5,3.429956,3.915947,3.18696,3.150289,4.026202,3.420962,0.930128,0.916154,0.860256,0.941596,0.929916,0.853991
100,3.513175,4.01581,3.261858,3.132018,4.034745,3.427796,0.930156,0.916187,0.860311,0.941668,0.930001,0.854169
100.5,3.569488,4.083386,3.312539,3.132018,4.060247,3.448198,0.930128,0.916154,0.860256,0.941791,0.930149,0.854478
101,3.613644,4.136373,3.35228,3.163101,4.067666,3.454133,0.930156,0.916187,0.860311,0.941915,0.930298,0.854787
101.5,3.669149,4.202979,3.402234,3.188395,4.083568,3.466854,0.930591,0.916709,0.861182,0.941915,0.930298,0.854787
102,3.707972,4.249566,3.437175,3.154081,4.091842,3.473474,0.930591,0.916709,0.861182,0.941915,0.930298,0.854788
102.5,3.753141,4.303769,3.477827,3.188395,4.113477,3.490782,0.930647,0.916776,0.861294,0.941915,0.930298,0.854788
103,3.892547,4.471057,3.603292,3.253595,4.130019,3.504015,0.930647,0.916776,0.861293,0.942303,0.930764,0.855758
103.5,3.917672,4.501206,3.625904,3.267295,4.164009,3.531207,0.930647,0.916776,0.861293,0.942401,0.930881,0.856002
104,3.981372,4.577646,3.683235,3.305868,4.171294,3.537036,0.930668,0.916802,0.861337,0.942423,0.930907,0.856057
104.5,4.010237,4.612284,3.709213,3.305868,4.178163,3.54253,0.93069,0.916828,0.861379,0.942423,0.930907,0.856057
105,4.024385,4.629262,3.721946,3.306994,4.180712,3.54457,0.93069,0.916828,0.861379,0.942474,0.930969,0.856186
