"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Event #", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A"
196034,144878,237495,760.74,523.9,772.52,1750.26,224.44,295.68,210.56,11.52,1385.21,3908.55,2754.09,1463.04,800,49559,2.698,672,740.962,216.508,749.825,-26.1665,46.1258,291.613,332.765,48.3454,1132.37,3243.48,-9.78129,785.286,-1438.88,37434.2
126334,102232,177425,1180.48,456.94,556.14,1416.7,343.48,542.72,463.36,192,1383.79,4361.53,3139.62,608.64,920.96,10204.8,2.749,689,1158.61,197.868,523.746,104.477,192.796,536.056,262.616,116.067,1094.7,3690.27,492.994,675.281,-470.529,-3550.64
233516,167363,199021,504.68,246.14,416.64,1036.02,217.62,-28.8,-30.72,-103.04,828.57,2579.43,1508.04,1173.12,798.08,52054.4,2.768,695,494.431,44.7997,406.568,88.2073,105.021,-31.4707,106.454,-70.9129,658.419,2194.74,-183.255,332.079,-700.418,43965.4
189519,153713,161619,650.38,540.02,714.24,1674.62,109.74,290.56,689.28,252.16,1233.27,3336.29,3111.22,704,805.12,19497,2.813,713,630.796,289.285,684.149,-19.7663,-60.3638,283.486,722.019,184.473,1017.02,2720.96,684.786,513.939,-970.532,9282.5
162844,132922,233730,959.76,533.82,303.18,1287.74,247.38,539.52,424.96,129.92,1802.69,4519.86,2678.12,927.36,282.88,19196.2,2.816,714,933.701,359.814,237.339,670.006,84.8343,523.159,249.884,86.8527,1515.09,3661.19,420.971,847.133,-854.472,5393.72
206756,158553,131074,646.66,213.28,261.02,466.86,227.54,140.16,270.72,60.16,1282.26,3273.81,1636.55,944,214.4,21276.8,2.835,720,636.495,62.4535,256.222,-135.054,187.699,140.502,329.001,33.1806,1076.05,2655.76,-75.2717,733.394,-691.031,11267.3
207420,141405,169957,383.16,113.46,158.72,438.96,65.72,55.68,155.52,93.44,955.66,2726.4,1002.52,1195.52,186.24,47473.9,2.837,722,375.235,-8.47643,152.764,124.058,12.4611,50.5038,262.722,108.464,778.173,2285.64,-346.574,450.578,-821.916,38965.2
126731,104481,182452,672.08,176.08,112.22,157.48,-7.44,35.2,7.68,32,754.02,1981.61,1121.8,570.24,119.04,20726.4,2.84,726,667.183,59.8337,106.431,-107.172,-15.1417,35.9478,62.736,54.7557,628.647,1605.24,149.711,293.756,-369.435,14648
223056,159650,152224,272.8,53.32,151.28,685.72,-6.82,212.48,347.52,106.88,962.76,2311.05,1074.23,977.28,311.04,45304.3,2.893,738,261.967,-50.6117,137.522,388.034,-99.8204,202.059,342.712,86.7492,816.056,1859.14,-32.738,227.859,-704.136,38346.9
163577,127592,193242,623.72,158.1,146.94,612.56,246.76,382.08,144.64,235.52,1351.84,3274.52,1562.71,1323.52,641.92,46449.3,2.907,746,608.645,17.6528,126.821,309.132,166.468,372.441,-13.6731,217.626,1146.92,2642.32,59.8592,619.736,-410.392,36431.4
176132,139900,173452,329.84,107.88,34.1,210.8,65.72,42.24,202.24,-10.24,788.1,2036.28,1035.89,964.48,152.32,44514.6,2.916,750,323.283,24.5377,22.7481,157.071,39.1475,38.525,273.964,-23.7377,657.885,1665.45,174.452,210.706,-554.969,38322.7
200677,151389,161911,982.7,272.18,186.62,421.6,-40.3,200.32,202.24,15.36,1113.99,3351.2,1882.92,993.92,161.28,30558.7,2.933,759,972.569,99.6001,170.338,4.31126,-79.7546,198.512,226.687,25.3418,894.498,2805.09,215.17,614.974,-691.772,20058
144448,115213,122471,610.08,138.88,6.2,75.02,-55.18,7.68,163.84,-16.64,352.16,1355.39,445.17,400.64,39.04,15890.6,2.954,765,607.216,60.3832,-6.05086,94.6899,-67.1482,5.75074,191.326,-30.5188,258.444,1166.82,-140.48,160.598,-209.077,11558.9
210671,152646,189464,300.7,141.36,120.9,385.64,39.68,61.44,270.08,-26.24,930.81,2546.06,1486.74,1160.32,610.56,53468.2,2.988,779,292.661,32.5774,110.84,106.144,-3.39832,58.7457,301.076,-57.8653,766.655,2120.22,273.186,242.836,-368.063,45651
216648,139956,94994.5,394.94,93.62,99.82,166.78,50.84,12.16,236.8,20.48,129.22,339.38,335.83,19.84,192.64,500.48,3,793,393.493,25.5435,97.9394,-81.571,37.7355,13.0803,241.907,-26.7269,106.77,240.74,59.5087,1.71051,-12.2991,-455.841
210193,130738,116708,351.54,226.92,484.22,464.38,110.98,417.28,289.28,206.72,153.36,316.66,1265.93,101.12,5772.8,1154.56,3,794,350.294,67.2289,513.414,-1005.78,90.9957,439.115,-841.97,-118.822,143.378,252.467,364.384,-233.959,5179.34,225.952
