Condition,VH Zeta + 221 WT 1,VH Zeta + 221 WT 2,VH Zeta + 221 WT 3,VL Zeta + 221 WT 1,VL Zeta + 221 WT 2,VL Zeta + 221 WT 3,VH Zeta + 221 CD58KO 1,VH Zeta + 221 CD58KO 2,VH Zeta + 221 CD58KO 3,VL Zeta + 221 CD58KO 1,VL Zeta + 221 CD58KO 2,VL Zeta + 221 CD58KO 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
58,1.335048,1.511519199,1.174023,0.905778,1.178125,1.081318,1.479241,0.993659,1.388802,1.555926,1.170598,1.106343,,,,,,,
58.5,1.328386,1.519393752,1.176052,0.906442,1.182628,1.086636,1.480068,0.994059,1.396261,1.556956,1.170598,1.106343,,,,,,,
59,1.320726,1.516587592,1.179807,0.906846,1.186598,1.087654,1.480068,0.994401,1.401204,1.557499,1.172643,1.1074,,,,,,,
59.5,1.317432,1.506144077,1.183112,0.906846,1.188293,1.088562,1.480894,0.995724,1.40714,1.566611,1.172519,1.1074,,,,,,,
60,1.319522,1.516587592,1.184028,0.906867,1.19092,1.088918,1.480894,0.997045,1.407253,1.56773,1.170598,1.1074,,,,,,,
60.5,1.318693,1.52924091,1.185661,0.908092,1.191491,1.089386,1.489331,0.997289,1.407506,1.570477,1.169998,1.1074,,,,,,,
61,1.293686,1.529404074,1.189321,0.909025,1.193029,1.089419,1.491514,0.997318,1.407506,1.570477,1.170598,1.10741,,,,,,,
61.5,1.319613,1.524235749,1.194952,0.910591,1.198318,1.090253,1.489675,0.997718,1.407754,1.570477,1.170598,1.107421,,,,,,,
62,1.296093,1.530634351,1.195984,0.91088,1.199731,1.09347,1.493352,0.99861,1.412325,1.573397,1.170598,1.107702,,,,,,,
62.5,1.297044,1.537090276,1.199727,0.911548,1.206402,1.095672,1.493352,0.998865,1.41336,1.573397,1.172643,1.107437,,,,,,,
63,1.296093,1.543906725,1.201268,0.912056,1.214597,1.100677,1.501327,0.999631,1.414102,1.571101,1.171558,1.107437,,,,,,,
63.5,1.295514,1.54358986,1.204145,0.912763,1.219641,1.104181,1.503165,1.006188,1.428169,1.572249,1.171558,1.107437,,,,,,,
64,1.308215,1.545302302,1.206331,0.914283,1.217539,1.104107,1.503165,1.007475,1.423279,1.571101,1.172643,1.107967,,,,,,,
64.5,1.306928,1.560428256,1.205428,0.915808,1.227329,1.105022,1.516337,1.008273,1.431473,1.569854,1.172767,1.108827,,,,,,,
65,1.319613,1.567738383,1.205843,0.91812,1.241896,1.107995,1.52055,1.008797,1.431812,1.571101,1.172767,1.109687,,,,,,,
65.5,1.319522,1.58470149,1.210157,0.919331,1.254203,1.110356,1.52055,1.008775,1.436416,1.571101,1.172643,1.110042,,,,,,,
66,1.309665,1.601020826,1.214237,0.919927,1.257747,1.112176,1.516337,1.008775,1.438615,1.575166,1.172643,1.110042,,,,,,,
66.5,1.322761,1.601500172,1.216418,0.921648,1.25964,1.114255,1.520705,1.011129,1.44217,1.575166,1.172643,1.108827,,,,,,,
67,1.320726,1.608016529,1.220494,0.921996,1.263751,1.115188,1.520705,1.010374,1.453706,1.573397,1.171558,1.108827,,,,,,,
67.5,1.319522,1.614239234,1.22131,0.922465,1.269138,1.117625,1.52086,1.011205,1.457241,1.573397,1.171558,1.108827,,,,,,,
68,1.303525,1.631437561,1.228083,0.923881,1.269783,1.117345,1.52086,1.011167,1.457241,1.573397,1.172519,1.108827,,,,,,,
68.5,1.310935,1.640902268,1.230172,0.925239,1.274811,1.119246,1.52086,1.015262,1.459022,1.572249,1.171558,1.109687,,,,,,,
69,1.302888,1.648023087,1.231642,0.925941,1.284514,1.119377,1.521368,1.016635,1.459022,1.575166,1.172767,1.110042,,,,,,,
69.5,1.311823,1.652563485,1.237808,0.927339,1.291052,1.122406,1.525155,1.018746,1.459441,1.577962,1.174373,1.109687,,,,,,,
70,1.311922,1.684656461,1.239785,0.927979,1.292199,1.123537,1.525155,1.025027,1.45944,1.579401,1.175409,1.110042,,,,,,,
70.5,1.316558,1.686039778,1.242107,0.928355,1.295364,1.124016,1.525692,1.029515,1.461549,1.577448,1.176499,1.110042,,,,,,,
71,1.310422,1.691311323,1.245908,0.929667,1.298564,1.124068,1.525692,1.029944,1.465067,1.580537,1.176499,1.11086,,,,,,,
71.5,1.310422,1.703267422,1.249459,0.930008,1.29777,1.128071,1.530295,1.035318,1.467604,1.582429,1.17737,1.110397,,,,,,,
72,1.310924,1.707681661,1.253375,0.93395,1.296496,1.131843,1.530295,1.039325,1.468367,1.582429,1.181952,1.110397,,,,,,,
72.5,1.311425,1.718125837,1.255315,0.936954,1.29752,1.133667,1.527993,1.037049,1.469296,1.584321,1.19218,1.109687,,,,,,,
73,1.311425,1.726625853,1.258996,0.937406,1.298547,1.134237,1.533371,1.039325,1.475133,1.584616,1.197226,1.109687,,,,,,,
73.5,1.310924,1.726625853,1.262234,0.938307,1.303214,1.137724,1.533371,1.04408,1.476041,1.585034,1.195424,1.110042,,,,,,,
74,1.314738,1.731592706,1.265285,0.939128,1.311671,1.137742,1.53933,1.046802,1.478202,1.584825,1.197226,1.110397,,,,,,,
74.5,1.3097,1.74884706,1.266074,0.94128,1.315856,1.139837,1.547107,1.048209,1.488231,1.586518,1.203178,1.110397,,,,,,,
75,1.311756,1.764929035,1.265709,0.942314,1.314871,1.143074,1.53933,1.051214,1.490197,1.585776,1.207328,1.11086,,,,,,,
75.5,1.319367,1.778338671,1.269142,0.947605,1.317675,1.145934,1.547107,1.051514,1.490197,1.586518,1.207328,1.111322,,,,,,,
76,1.315917,1.807177092,1.271352,0.94853,1.329491,1.147399,1.548414,1.051879,1.493096,1.586518,1.208998,1.112787,,,,,,,
76.5,1.314071,1.819927208,1.274142,0.94965,1.328675,1.14821,1.552508,1.053088,1.493096,1.58908,1.208998,1.112787,,,,,,,
77,1.311934,1.80878167,1.27602,0.951031,1.340152,1.148949,1.552701,1.052011,1.494281,1.58908,1.210667,1.112055,,,,,,,
77.5,1.314927,1.820319356,1.281402,0.952077,1.345303,1.1495,1.553781,1.054276,1.495949,1.589376,1.210819,1.112055,,,,,,,
78,1.314631,1.821459103,1.284412,0.954247,1.348717,1.150396,1.557785,1.05612,1.496554,1.587799,1.210819,1.113684,,,,,,,
78.5,1.311269,1.826129624,1.290284,0.954247,1.353999,1.150616,1.560709,1.0575,1.49755,1.589376,1.21609,1.115037,,,,,,,
79,1.31392,1.849286862,1.291149,0.955291,1.353998,1.150447,1.560709,1.058557,1.500136,1.591761,1.218417,1.115494,,,,,,,
79.5,1.313815,1.872668786,1.295524,0.95638,1.353338,1.15213,1.560709,1.05955,1.501317,1.592702,1.21609,1.115494,,,,,,,
80,1.316064,1.870966067,1.296721,0.957146,1.356356,1.154636,1.563673,1.059898,1.502751,1.592702,1.21353,1.115037,,,,,,,
80.5,1.345887,1.880952538,1.296207,0.958296,1.36538,1.155825,1.563673,1.06201,1.504186,1.592232,1.218417,1.117364,,,,,,,
81,1.328636,1.885342494,1.3024,0.958304,1.367132,1.15847,1.566637,1.062907,1.504186,1.596541,1.220743,1.117364,,,,,,,
81.5,1.328371,1.885342494,1.30291,0.959659,1.359339,1.15983,1.566637,1.065533,1.507021,1.600603,1.21609,1.117364,,,,,,,
82,1.342481,1.894863552,1.304914,0.960511,1.37189,1.15976,1.568102,1.06611,1.507544,1.599162,1.21353,1.117364,,,,,,,
82.5,1.326601,1.898197517,1.311468,0.961008,1.377438,1.1617,1.569846,1.068723,1.507544,1.599162,1.21609,1.119272,,,,,,,
83,1.341283,1.902288195,1.312314,0.961533,1.381519,1.163553,1.568974,1.068723,1.507021,1.600603,1.21609,1.11931,,,,,,,
83.5,1.322162,1.922200199,1.314786,0.96165,1.385029,1.163871,1.569846,1.069138,1.507544,1.599981,1.21609,1.119272,,,,,,,
84,1.324528,1.930384954,1.322672,0.961726,1.389662,1.164499,1.569846,1.069138,1.510364,1.601224,1.218417,1.121566,,,,,,,
84.5,1.338668,1.945471677,1.32484,0.963412,1.391254,1.164859,1.568974,1.06893,1.51189,1.603538,1.21353,1.123105,,,,,,,
85,1.338065,1.945471677,1.330769,0.964149,1.396977,1.170117,1.568974,1.068723,1.51189,1.604956,1.21097,1.123105,,,,,,,
85.5,1.350089,1.9760823,1.333005,0.965348,1.399683,1.170134,1.568974,1.069138,1.512774,1.603538,1.21097,1.123447,,,,,,,
86,1.355489,1.977420738,1.332786,0.967652,1.397763,1.173414,1.568974,1.072386,1.513918,1.603538,1.21097,1.125591,,,,,,,
86.5,1.355555,1.98450157,1.334596,0.970115,1.403149,1.176671,1.570474,1.072713,1.51422,1.603372,1.210819,1.123789,,,,,,,
87,1.355131,1.987198643,1.335923,0.970805,1.403521,1.181601,1.571007,1.075812,1.518071,1.603538,1.210819,1.125591,,,,,,,
87.5,1.356232,1.98837325,1.338181,0.974377,1.405606,1.188746,1.571007,1.076538,1.519735,1.603538,1.210667,1.125591,,,,,,,
