Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
86.511,1.370562441,2.089916,3.185582759,2.03791178,1.536979
87.011,1.382102715,2.105617,3.194604638,2.056067118,1.556816
87.511,1.387093667,2.124745,3.204546743,2.077562391,1.578964
88.011,1.39856639,2.142868,3.206762619,2.10128477,1.608287
88.511,1.402386825,2.162903,3.215607543,2.13546924,1.624185
89.011,1.411557607,2.178699,3.216411819,2.153745209,1.654084
89.511,1.422552039,2.19284,3.22114625,2.170185371,1.668265
90.011,1.43067552,2.20965,3.221926214,2.182923707,1.686811
90.511,1.435919608,2.225441,3.225351396,2.208978533,1.69875
91.011,1.44153624,2.239097,3.233652556,2.226045206,1.714574
91.511,1.452069249,2.252814,3.237077675,2.250480733,1.735764
92.011,1.459603333,2.26194,3.246750692,2.269762336,1.75417
92.511,1.470176757,2.269312,3.250869036,2.288368998,1.778672
93.011,1.484058897,2.285775,3.25337407,2.311300366,1.798587
93.511,1.496782233,2.302643,3.257544397,2.329499014,1.818655
94.011,1.505245449,2.316369,3.263655574,2.34651462,1.839368
94.511,1.519956946,2.339701,3.265948547,2.368854329,1.855405
95.011,1.529397712,2.368696,3.275640643,2.387850378,1.881536
95.511,1.539365886,2.381478,3.281926024,2.408887611,1.911503
96.011,1.547273988,2.409335,3.286750981,2.414913212,1.931331
96.511,1.553547884,2.432407,3.298269457,2.437359613,1.949976
97.011,1.558238145,2.446849,3.30341441,2.461870176,1.964179
97.511,1.56895397,2.464297,3.311367262,2.485857826,1.97499
98.011,1.579968456,2.479706,3.313601731,2.506371869,1.987807
98.511,1.586217874,2.504895,3.321458951,2.522988363,2.010627
99.011,1.592621992,2.516712,3.328663602,2.536015023,2.03088
99.511,1.600086334,2.531775,3.32921893,2.546663309,2.04015
100.011,1.613573163,2.54022,3.331898453,2.56092906,2.049672
100.511,1.630916785,2.56081,3.331983006,2.5723551,2.067176
101.011,1.63815238,2.574224,3.341057178,2.581110001,2.086332
101.511,1.64318913,2.587028,3.341057178,2.59320683,2.092999
102.011,1.652962168,2.593028,3.349055972,2.602403047,2.112431
102.511,1.663695695,2.601575,3.344014048,2.619478019,2.12037
103.011,1.667712744,2.612704,3.349216173,2.6313955,2.147178
103.511,1.677649296,2.630118,3.351252974,2.648445142,2.163659
104.011,1.686847604,2.651001,3.355996089,2.663206301,2.174274
104.511,1.695864289,2.662712,3.357415695,2.6749715,2.183428
105.011,1.707518356,2.683544,3.357136165,2.683195552,2.203763
105.511,1.714073427,2.691735,3.359394029,2.697042885,2.216239
106.011,1.724614148,2.700738,3.35805911,2.714543919,2.227761
106.511,1.732050923,2.709325,3.356804701,2.734020137,2.237766
107.011,1.739733916,2.7176,3.356798482,2.745821557,2.251309
107.511,1.756473594,2.726864,3.363809097,2.768635449,2.265496
108.011,1.769050882,2.738852,3.367837838,2.780549264,2.273613
108.511,1.775307621,2.753567,3.367796673,2.789626518,2.280677
109.011,1.786984285,2.769039,3.368899248,2.803620142,2.293169
109.511,1.81256129,2.781471,3.374002786,2.817737528,2.308933
110.011,1.824313121,2.781565,3.368590099,2.831735274,2.327882
110.511,1.839045165,2.789186,3.368598525,2.839577965,2.339644
111.011,1.850760308,2.794627,3.368402015,2.852922126,2.350058
111.511,1.867703651,2.804407,3.367331696,2.86319619,2.364011
112.011,1.876326416,2.809283,3.368203149,2.874352945,2.372404
112.511,1.892835017,2.81606,3.364797953,2.888606948,2.384876
113.011,1.90794408,2.822089,3.358503579,2.901372943,2.393016
113.511,1.919446532,2.828833,3.357415695,2.908518627,2.413927
114.011,1.933712959,2.842453,3.357778846,2.92075478,2.421228
114.511,1.94670345,2.858614,3.356397285,2.930080207,2.430381
115.011,1.961847669,2.870794,3.353429823,2.934894913,2.441014
115.511,1.973031645,2.8762,3.350479642,2.948033927,2.445852
116.011,1.983508773,2.886652,3.349409175,2.958882008,2.457943
116.511,1.995253017,2.891313,3.348235125,2.963634482,2.471759
117.011,2.000288568,2.900246,3.344668697,2.972152926,2.476545
117.511,2.009342702,2.906967,3.341941419,2.980975294,2.488914
118.011,2.019612551,2.917295,3.340457057,2.986534493,2.493592
118.511,2.027554544,2.919443,3.338060442,2.990794675,2.504482
119.011,2.041742054,2.931034,3.331229763,2.999031178,2.50674
119.511,2.058575237,2.93972,3.329739703,3.007817802,2.514815
120.011,2.071506061,2.944708,3.327876253,3.015077572,2.526901
120.511,2.082543727,2.95103,3.321324374,3.018642951,2.535128
121.011,2.091810366,2.967219,3.32181777,3.023413122,2.542721
